Requirements for the Minor in Gender and Sexuality Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofgenderandsexualitystudies/#minortext,Requirements for the Minor in Gender and Sexuality Studies
Requirements for the Minor in Queer Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofgenderandsexualitystudies/#minortext,Requirements for the Minor in Queer Studies
Requirements for the B.A. in Global Cultures,http://catalogue.uci.edu/schoolofhumanities/undergraduateprograminglobalcultures/#minortext,Global Cultures
Requirements for the Minor in Global Cultures,http://catalogue.uci.edu/schoolofhumanities/undergraduateprograminglobalcultures/#minortext,Requirements for the Minor in Global Cultures
Requirements for the B.A. in Global Middle East Studies,http://catalogue.uci.edu/globalmiddleeaststudies/#minortext,Global Middle East Studies
Requirements for the Minor in Global Middle East Studies,http://catalogue.uci.edu/globalmiddleeaststudies/#minortext,Requirements for the Minor in Global Middle East Studies
Requirements for the Minor in Humanities and Law,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#humanitiesandlawtext,Humanities and Law
Requirements for the Interdisciplinary Minor in Asian Studies,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#humanitiesandlawtext,Requirements for the Interdisciplinary Minor in Asian Studies
Requirements for the Minor in Jewish Studies,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#humanitiesandlawtext,Requirements for the Minor in Jewish Studies
Requirements for the Minor in Latin American Studies,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#humanitiesandlawtext,Requirements for the Minor in Latin American Studies
Requirements for the Minor in Medical Humanities,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#humanitiesandlawtext,Requirements for the Minor in Medical Humanities
Requirements for the Italian Studies Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#italiantext,Italian Studies
Requirements for the B.A. in European Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#italiantext,Requirements for the B.A. in European Studies
Requirements for the Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#italiantext,Requirements for the Minor
Requirements for the B.A. in French,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#italiantext,Requirements for the B.A. in French
Requirements for the French Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#italiantext,Requirements for the French Minor
Requirements for the B.A. in German Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#italiantext,Requirements for the B.A. in German Studies
Departmental Requirements for the Minor in German Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#italiantext,Departmental Requirements for the Minor in German Studies
Requirements for the Russian Studies Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#italiantext,Requirements for the Russian Studies Minor
